,originalLocation,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
73,B-16-12,FQ53YY,15.0,JCNON3,11.0,EBKM6C,7.0,QXS5D1,10.0,SVFO5S,15.0,YF0X2Z,15.0,122OKQ,12.0,ZRCYSH,9.0,4E1WTK,14.0,V6K6JX,16.0,TBCCF7,8.0,CD1NU9,5.0,W25EZN,6.0,5HQR89,7.0,EYEOXS,6.0,8BSFSA,9.0,9VBE59,5.0,1ENECA,6.0
74,B-16-13,2LPO6D,10.0,SWN7AU,5.0,EAJXUV,4.0,D8AMD3,6.0,05W6TK,14.0,70EPUK,9.0,BLJLMQ,4.0,066BOU,11.0,A7MDBC,4.0,5X8RAN,13.0,TB6WIP,11.0,800OVF,13.0,PY5UPB,14.0,ADT9MG,16.0,JCIIEB,7.0,ETU70R,11.0,Y813MQ,6.0,D8AMD3,5.0
80,B-17-11,DSQXYR,15.0,JCIIEB,15.0,05W6TK,16.0,MLV9BR,7.0,YMN5EM,9.0,IA7X1P,5.0,TLFT43,13.0,5HQR89,15.0,SVJZKL,7.0,B24J86,9.0,M67GNC,14.0,ASG1IT,5.0,QP56BU,10.0,CD1NU9,15.0,FQ53YY,15.0,JHSQHS,14.0,02MRUH,9.0,SVJZKL,6.0
81,B-17-12,CVU3QV,10.0,5P4LRT,15.0,UDF17E,8.0,AHSNWF,11.0,JU0ODD,7.0,RBKNR4,12.0,37VA62,13.0,84ABYS,4.0,UDF17E,12.0,8D9SAW,6.0,4E0KXI,11.0,HOUGRO,5.0,QOMHJ2,7.0,QVFB0Q,14.0,D05ZS7,11.0,LXJQVG,9.0,A7MDBC,14.0,EA91CP,14.0
82,B-17-13,O7AXAK,4.0,IYV9SV,12.0,J2URNJ,13.0,UHYJ3A,8.0,4E1WTK,12.0,8D9SAW,4.0,8BSFSA,13.0,32ZKOX,14.0,D8AMD3,5.0,JEGRCL,6.0,5HQR89,16.0,VHQ356,9.0,HI2X6U,8.0,ETU70R,4.0,Z8KPP8,14.0,JCNON3,10.0,HOUJQN,15.0,ULG3QT,14.0
88,B-18-11,AHR20O,5.0,BLJLMQ,13.0,69L9MX,15.0,W25EZN,15.0,8N10W9,7.0,JU0ODD,12.0,PZUF7K,15.0,XPZSZ1,16.0,CST1KC,6.0,63KAC1,10.0,AHR20O,16.0,122OKQ,14.0,SSQFQA,9.0,9VBE59,11.0,JCIIEB,13.0,APQKWK,11.0,ZVUW6Z,11.0,05W6TK,7.0
89,B-18-12,9KHDG3,6.0,Q50W5L,11.0,I2B1FH,15.0,XFQ9CP,14.0,XSFSKX,13.0,TLFT43,11.0,TNZ1OO,9.0,6N3PKW,15.0,XSFSKX,11.0,IAKTYD,11.0,8D9SAW,15.0,4SD17H,11.0,DSQXYR,16.0,9KHDG3,10.0,YE890X,9.0,ZX6MUV,16.0,Q50W5L,4.0,TBCCF7,15.0
90,B-18-13,EYEOXS,11.0,KUFVRI,14.0,F98BNI,11.0,CU53FM,11.0,V6K6JX,8.0,RAUDQ6,4.0,RAUDQ6,5.0,XUZJ74,15.0,VHQ356,9.0,Y813MQ,8.0,4ILN0A,5.0,JCNON3,6.0,JUUL5B,16.0,05W6TK,8.0,JHSQHS,16.0,800OVF,15.0,TB6WIP,6.0,4E0KXI,14.0
96,B-19-11,1A6YTA,10.0,IA7X1P,16.0,7BU1V7,15.0,FJ25W1,9.0,3LQL9L,15.0,TNAHD4,6.0,AHSNWF,5.0,JWTWL1,4.0,ODZZLY,16.0,SWN7AU,7.0,V7JUQL,16.0,122OKQ,16.0,AB9XBU,10.0,F29V5I,12.0,JUUL5B,8.0,02MRUH,11.0,63KAC1,7.0,S90CD9,14.0
97,B-19-12,HA0BOB,11.0,A7MDBC,11.0,32ZKOX,6.0,TNZ1OO,11.0,B24J86,8.0,M8W7TS,14.0,2LPO6D,10.0,X0HH8Y,4.0,DF3KQM,11.0,TBCCF7,8.0,ULG3QT,15.0,TLFT43,12.0,I1KDJ0,4.0,8BSFSA,7.0,56TC1Z,5.0,4E1WTK,7.0,KZ5VR3,13.0,RUUOCB,14.0
98,B-19-13,QXS5D1,7.0,EYEOXS,13.0,066BOU,12.0,JUUL5B,4.0,JGP0ID,11.0,122OKQ,13.0,1ENECA,11.0,UCRNWD,6.0,VWXLZJ,14.0,EBKM6C,8.0,PP9DNA,13.0,BLJLMQ,7.0,IPGA7X,13.0,1D2ILZ,11.0,ZGYCSW,12.0,EQQBND,8.0,ZRCYSH,5.0,PP9DNA,4.0
104,B-20-11,W518XY,11.0,JCIIEB,5.0,6N3PKW,14.0,TNAHD4,14.0,TOENMT,5.0,800OVF,9.0,H1I7JZ,9.0,Q50W5L,7.0,Z8KPP8,8.0,56TC1Z,4.0,O7TSVL,6.0,I2B1FH,11.0,A7MDBC,4.0,0LNUOV,14.0,D8AMD3,16.0,F0P5OQ,7.0,TNAHD4,16.0,NM6C73,15.0
105,B-20-12,CVU3QV,11.0,ZX6MUV,16.0,ZGYCSW,6.0,YRRNGL,8.0,SVJZKL,9.0,ADT9MG,10.0,GPBMZJ,8.0,SVFO5S,11.0,I1X92B,14.0,IPGA7X,8.0,1D2ILZ,15.0,84ABYS,8.0,CVU3QV,12.0,SMMRK3,14.0,YXGRMP,15.0,HI2X6U,9.0,MLV9BR,15.0,BLJLMQ,11.0
106,B-20-13,YN8OHN,10.0,EBKM6C,7.0,TBCCF7,12.0,PY5UPB,4.0,63KAC1,13.0,02MRUH,13.0,H1I7JZ,14.0,LXJQVG,7.0,W518XY,16.0,RN2DSQ,16.0,AB9XBU,12.0,Y813MQ,12.0,M8W7TS,4.0,2LPO6D,8.0,B24J86,5.0,A19092,9.0,VWXLZJ,12.0,JWTWL1,4.0
112,B-21-11,5P4LRT,9.0,4ILN0A,6.0,F98BNI,8.0,HXQR4L,11.0,HGXJD0,7.0,J2URNJ,5.0,2OAVPY,9.0,W25EZN,16.0,AHSNWF,13.0,DNLEH7,9.0,1ENECA,15.0,X31OGS,12.0,VWXLZJ,8.0,I2B1FH,5.0,HOUJQN,10.0,RAUDQ6,6.0,63KAC1,16.0,LXJQVG,6.0
113,B-21-12,K3YA1X,15.0,F0P5OQ,8.0,V6K6JX,12.0,ADT9MG,5.0,SVFO5S,11.0,AHSNWF,7.0,FQ53YY,7.0,JHSQHS,6.0,4ILN0A,11.0,HCMI82,16.0,RBKNR4,8.0,NJVZEL,14.0,02MRUH,6.0,1JT1XB,12.0,Q164T6,10.0,DGAONE,14.0,RAUDQ6,10.0,IAKTYD,8.0
114,B-21-13,XUZJ74,6.0,1JT1XB,4.0,IAKTYD,12.0,4SD17H,14.0,9S4AF8,6.0,7GC57K,12.0,CST1KC,10.0,SVJZKL,16.0,5IXVJ1,7.0,Y813MQ,12.0,F29V5I,16.0,QXS5D1,11.0,QTMT7N,11.0,DSQXYR,7.0,A19092,8.0,122OKQ,8.0,4E1WTK,12.0,TNAHD4,5.0
120,B-22-11,W518XY,13.0,YN8OHN,13.0,ZX6MUV,6.0,G8ASPE,6.0,EAJXUV,10.0,NISP6K,11.0,HA0BOB,16.0,JUUL5B,12.0,S90CD9,15.0,PZUF7K,7.0,YRRNGL,15.0,Q50W5L,7.0,63KAC1,7.0,6M2FJM,10.0,6M2FJM,16.0,UDF17E,7.0,2LPO6D,11.0,CU53FM,13.0
121,B-22-12,I1X92B,15.0,MLV9BR,15.0,EYEOXS,8.0,QXS5D1,16.0,69L9MX,10.0,O9YFO8,12.0,IYXV3Z,8.0,KUFVRI,13.0,UCRNWD,11.0,PP9DNA,12.0,JEGRCL,10.0,7GC57K,10.0,AB9XBU,9.0,AX7BJ8,16.0,M67GNC,5.0,SMMRK3,9.0,TNAHD4,4.0,Q50W5L,6.0
122,B-22-13,RUUOCB,10.0,JHSQHS,6.0,SSQFQA,14.0,JCNON3,9.0,RN2DSQ,8.0,W518XY,10.0,IYLV38,12.0,HGXJD0,12.0,8D9SAW,14.0,800OVF,15.0,V7JUQL,8.0,F0P5OQ,7.0,6N3PKW,10.0,5MNTT7,9.0,U8203G,15.0,IAKTYD,9.0,70EPUK,12.0,F7LULH,10.0
128,B-23-11,Q164T6,14.0,JUUL5B,10.0,VHQ356,13.0,XUZJ74,15.0,IPGA7X,14.0,TLFT43,13.0,HLOISD,13.0,9KZ6W1,16.0,AHR20O,13.0,VHQ356,11.0,NM6C73,13.0,UHYJ3A,4.0,IYLV38,5.0,EYEOXS,14.0,JCNON3,10.0,CU53FM,10.0,YE890X,16.0,B24J86,8.0
129,B-23-12,QP56BU,15.0,DF3KQM,7.0,H1I7JZ,6.0,0LNUOV,10.0,63KAC1,9.0,JEGRCL,10.0,E2ES5Z,14.0,HLOISD,12.0,5X8RAN,13.0,02MRUH,12.0,D8AMD3,16.0,7BU1V7,10.0,JGP0ID,4.0,0LNUOV,8.0,2T1DJM,6.0,066BOU,10.0,HOUGRO,5.0,UCRNWD,11.0
130,B-23-13,IA7X1P,7.0,ADT9MG,9.0,U95NWB,16.0,WH1BJI,5.0,4E1WTK,10.0,X0HH8Y,14.0,A19092,14.0,9VBE59,10.0,6N3PKW,14.0,2T1DJM,4.0,63KAC1,13.0,QXS5D1,4.0,UCRNWD,10.0,YE890X,11.0,TOENMT,15.0,Q50W5L,13.0,SMMRK3,7.0,9KZ6W1,12.0
136,B-24-11,6N3PKW,7.0,5X8RAN,11.0,2LPO6D,6.0,WGHG3L,7.0,IAKTYD,14.0,2Z7ZEP,14.0,AHSNWF,6.0,I1X92B,15.0,EBKM6C,9.0,IPGA7X,15.0,1A6YTA,7.0,5X8RAN,9.0,UU4A1K,7.0,HOUGRO,4.0,KTDZY0,5.0,D05ZS7,13.0,FQ53YY,10.0,PP9DNA,4.0
137,B-24-12,9FWH2G,16.0,5P4LRT,11.0,PC1PMV,10.0,05W6TK,12.0,AHSNWF,6.0,V6K6JX,13.0,TNAHD4,5.0,84ABYS,13.0,I2B1FH,14.0,PZUF7K,9.0,SSQFQA,6.0,9FWH2G,6.0,5MNTT7,6.0,ZX6MUV,14.0,H1I7JZ,7.0,AHR20O,12.0,VHQ356,12.0,CST1KC,5.0
138,B-24-13,EYEOXS,5.0,FQ53YY,6.0,TLFT43,7.0,SMMRK3,9.0,D8AMD3,11.0,066BOU,8.0,63KAC1,8.0,6N3PKW,15.0,N6JU7C,9.0,TOENMT,12.0,AX7BJ8,6.0,SVFO5S,7.0,AX7BJ8,14.0,TB6WIP,6.0,X31OGS,15.0,UHYJ3A,6.0,SY1DDY,4.0,HLOISD,8.0
144,C-13-11,SWN7AU,12.0,B24J86,8.0,DNLEH7,10.0,PC1PMV,14.0,1D2ILZ,13.0,W518XY,8.0,7BU1V7,14.0,D8AMD3,10.0,EYEOXS,7.0,YE890X,16.0,4E0KXI,14.0,8E9F1P,8.0,EQQBND,6.0,IYXV3Z,10.0,F73ZE1,15.0,CU53FM,10.0,YE890X,6.0,YRRNGL,12.0
145,C-13-12,56TC1Z,8.0,9KZ6W1,15.0,DGAONE,13.0,AB9XBU,14.0,0SJH1Z,4.0,DF3KQM,6.0,AKP0A7,13.0,JHSQHS,11.0,84ABYS,12.0,IA7X1P,16.0,HGXJD0,5.0,UNPPMJ,10.0,MLV9BR,7.0,YN8OHN,13.0,ZRCYSH,4.0,TOENMT,7.0,IYXV3Z,6.0,O9YFO8,9.0
146,C-13-13,S90CD9,4.0,TLFT43,12.0,F7LULH,11.0,JU0ODD,4.0,32ZKOX,7.0,DGAONE,10.0,TBCCF7,6.0,ASG1IT,5.0,066BOU,13.0,56TC1Z,12.0,TBCCF7,11.0,EQQBND,7.0,B24J86,16.0,M8W7TS,16.0,J2URNJ,5.0,TLFT43,12.0,RUUOCB,8.0,YN8OHN,4.0
152,C-14-11,HA0BOB,11.0,Z8KPP8,13.0,066BOU,11.0,AB9XBU,7.0,UHYJ3A,8.0,A7MDBC,14.0,ASG1IT,8.0,F0P5OQ,15.0,YRRNGL,9.0,T3NVTG,11.0,PC1PMV,7.0,E5CISL,8.0,JCNON3,13.0,IAKTYD,6.0,ZVUW6Z,5.0,BLJLMQ,6.0,A7MDBC,14.0,CST1KC,4.0
153,C-14-12,E5CISL,10.0,FJ25W1,5.0,D05ZS7,9.0,A19092,14.0,IYXV3Z,12.0,0SJH1Z,15.0,H51IVV,9.0,WGHG3L,8.0,IPGA7X,5.0,8D9SAW,11.0,YXGRMP,4.0,ASG1IT,14.0,U8203G,9.0,8D9SAW,15.0,UNPPMJ,7.0,2OAVPY,8.0,J3FI7N,11.0,APQKWK,12.0
154,C-14-13,EYEOXS,13.0,5P2MVG,6.0,84ABYS,7.0,QOMHJ2,5.0,PY5UPB,4.0,XFQ9CP,11.0,QXS5D1,5.0,5MNTT7,5.0,69L9MX,6.0,IYXV3Z,11.0,HA0BOB,8.0,WGHG3L,12.0,TB6WIP,8.0,Q50W5L,13.0,ZX6MUV,14.0,WGHG3L,13.0,S90CD9,9.0,F7LULH,11.0
160,C-15-11,O9YFO8,16.0,JUUL5B,6.0,3LQL9L,11.0,C5O9C9,16.0,HI2X6U,15.0,XPZSZ1,11.0,ZRCYSH,8.0,KUFVRI,9.0,SWN7AU,9.0,N6JU7C,8.0,6MKIC6,12.0,CVU3QV,11.0,SVJZKL,12.0,CVU3QV,16.0,K3YA1X,4.0,BLJLMQ,10.0,9FWH2G,4.0,8E9F1P,14.0
161,C-15-12,XFQ9CP,5.0,YMN5EM,7.0,YE890X,5.0,SMMRK3,11.0,2LPO6D,14.0,TB6WIP,13.0,ZRCYSH,16.0,2LPO6D,8.0,0LNUOV,5.0,G8ASPE,12.0,SVFO5S,16.0,EBKM6C,16.0,GPBMZJ,7.0,YF0X2Z,14.0,GPBMZJ,15.0,F98BNI,16.0,6N3PKW,11.0,3LQL9L,15.0
162,C-15-13,SY1DDY,15.0,5IXVJ1,15.0,K3YA1X,15.0,2Z7ZEP,9.0,RUUOCB,15.0,05W6TK,8.0,V7JUQL,9.0,ETU70R,7.0,9VBE59,10.0,W25EZN,16.0,QM2UH1,5.0,EYEOXS,7.0,SY1DDY,8.0,G8ASPE,13.0,1JT1XB,16.0,2T1DJM,13.0,QXS5D1,7.0,V7JUQL,12.0
168,C-16-11,JHSQHS,12.0,TBCCF7,11.0,HLOISD,11.0,5P4LRT,6.0,Z26SRT,12.0,63KAC1,15.0,UNPPMJ,16.0,8D9SAW,15.0,G8ASPE,5.0,WRRW1W,4.0,F73ZE1,15.0,I2B1FH,9.0,YXGRMP,10.0,56TC1Z,8.0,DSQXYR,15.0,Y813MQ,16.0,AHSNWF,14.0,T3NVTG,13.0
169,C-16-12,F0P5OQ,4.0,DSQXYR,10.0,D8AMD3,14.0,32ZKOX,12.0,ADT9MG,9.0,DGAONE,13.0,DF3KQM,4.0,NJVZEL,12.0,Y813MQ,6.0,Y813MQ,12.0,C5O9C9,6.0,RN2DSQ,12.0,YMN5EM,15.0,EA91CP,4.0,T3NVTG,11.0,I1X92B,9.0,T3NVTG,13.0,2LPO6D,9.0
170,C-16-13,CD1NU9,8.0,G8ASPE,5.0,YKQY4X,13.0,0LNUOV,16.0,JCNON3,10.0,5MNTT7,10.0,5IXVJ1,13.0,NJVZEL,14.0,3LQL9L,11.0,1A6YTA,8.0,J3FI7N,13.0,6MKIC6,11.0,EAJXUV,15.0,C5O9C9,5.0,SVFO5S,15.0,H51IVV,7.0,M8W7TS,8.0,TAHFOD,8.0
